"Codi","Nom","Codi comarca","Nom comarca","UTM X","UTM Y","Longitud","Latitud","Georeferència"
"171827","Santa Llogaia d'Àlguema","02","Alt Empordà","496,132.2368","4,675,759.126","2.953125695","42.23400499","POINT (2.953125695 42.23400499)"
"172082","Vall de Bianya, la","19","Garrotxa","455,057.6174","4,673,354.607","2.45553093","42.21106657","POINT (2.45553093 42.21106657)"
"171292","Pedret i Marzà","02","Alt Empordà","505,660.7786","4,684,221.24","3.068686953","42.31020582","POINT (3.068686953 42.31020582)"
"081640","Pla del Penedès, el","03","Alt Penedès","392,219.8573","4,586,003.949","1.710276206","41.41836621","POINT (1.710276206 41.41836621)"
"251312","Massalcoreig","33","Segrià","279,455.7361","4,593,096.815","0.359348357","41.45916407","POINT (0.359348357 41.45916407)"
"081458","Olèrdola","03","Alt Penedès","392,967.7763","4,575,182.926","1.721133883","41.32101847","POINT (1.721133883 41.32101847)"
"430043","Alcanar","22","Montsià","286,762.4333","4,491,059.459","0.481966932","40.5428638","POINT (0.481966932 40.5428638)"
"082205","Sant Julià de Vilatorta","24","Osona","443,988.3578","4,641,369.453","2.324497728","41.92229554","POINT (2.324497728 41.92229554)"
"251351","Miralcamp","27","Pla d'Urgell","323,355.9178","4,608,046.505","0.88020209","41.60459409","POINT (0.88020209 41.60459409)"
"080581","Castellet i la Gornal","03","Alt Penedès","381,929.5554","4,567,845.08","1.590703884","41.25340002","POINT (1.590703884 41.25340002)"
"252424","Verdú","38","Urgell","345,258.6545","4,608,207.091","1.142859787","41.61058522","POINT (1.142859787 41.61058522)"
"250306","Pont de Bar, el","04","Alt Urgell","385,156.651","4,692,046.167","1.605152752","42.37221301","POINT (1.605152752 42.37221301)"
"250851","Estaràs","32","Segarra","365,056.049","4,616,846.202","1.378411547","41.69196075","POINT (1.378411547 41.69196075)"
"081017","Hospitalet de Llobregat, l'","13","Barcelonès","424,696.8549","4,579,052.691","2.099712098","41.35945967","POINT (2.099712098 41.35945967)"
"082114","Sant Feliu de Llobregat","11","Baix Llobregat","420,250.8675","4,581,597.729","2.046230144","41.38195325","POINT (2.046230144 41.38195325)"
