Region,Value,Year,Metric_Type
ANDALUCÍA,8168.6,2008,Número de Habitantes
ARAGÓN,1336.4,2008,Número de Habitantes
"ASTURIAS, PRINCIPADO DE",1074.0,2008,Número de Habitantes
"BALEARS, ILLES",1057.4,2008,Número de Habitantes
CANARIAS,2010.0,2008,Número de Habitantes
CANTABRIA,581.2,2008,Número de Habitantes
CASTILLA Y LEÓN,2546.4,2008,Número de Habitantes
CASTILLA - LA MANCHA,2050.5,2008,Número de Habitantes
CATALUÑA,7377.1,2008,Número de Habitantes
COMUNITAT VALENCIANA,4959.6,2008,Número de Habitantes
EXTREMADURA,1091.5,2008,Número de Habitantes
GALICIA,2760.0,2008,Número de Habitantes
"MADRID, COMUNIDAD DE",6283.7,2008,Número de Habitantes
"MURCIA, REGIÓN DE",1431.5,2008,Número de Habitantes
"NAVARRA, COMUNIDAD FORAL DE",622.0,2008,Número de Habitantes
PAÍS VASCO,2166.8,2008,Número de Habitantes
"RIOJA, LA",318.4,2008,Número de Habitantes
CEUTA,75.8,2008,Número de Habitantes
MELILLA,72.2,2008,Número de Habitantes
ANDALUCÍA,0.1776431392334592,2008,Estructura Porcentual
ARAGÓN,0.029062788148715185,2008,Estructura Porcentual
"ASTURIAS, PRINCIPADO DE",0.023356356234450846,2008,Estructura Porcentual
"BALEARS, ILLES",0.022995354825240528,2008,Estructura Porcentual
CANARIAS,0.04371161641643035,2008,Estructura Porcentual
CANTABRIA,0.012639398736930011,2008,Estructura Porcentual
CASTILLA Y LEÓN,0.05537674628994938,2008,Estructura Porcentual
CASTILLA - LA MANCHA,0.044592372866612155,2008,Estructura Porcentual
CATALUÑA,0.16043033107743698,2008,Estructura Porcentual
COMUNITAT VALENCIANA,0.1078567824770786,2008,Estructura Porcentual
EXTREMADURA,0.02373693000922076,2008,Estructura Porcentual
GALICIA,0.06002192104942675,2008,Estructura Porcentual
"MADRID, COMUNIDAD DE",0.13665208162981263,2008,Estructura Porcentual
"MURCIA, REGIÓN DE",0.031130934776179127,2008,Estructura Porcentual
"NAVARRA, COMUNIDAD FORAL DE",0.013526679308965015,2008,Estructura Porcentual
PAÍS VASCO,0.0471215574383688,2008,Estructura Porcentual
"RIOJA, LA",0.006924267993528071,2008,Estructura Porcentual
CEUTA,0.001648428121574836,2008,Estructura Porcentual
MELILLA,0.0015701386593364535,2008,Estructura Porcentual
ANDALUCÍA,0.014380091396781314,2008,Tasa de Variación Interanual
ARAGÓN,0.020620131357873772,2008,Tasa de Variación Interanual
"ASTURIAS, PRINCIPADO DE",0.00561797752808979,2008,Tasa de Variación Interanual
"BALEARS, ILLES",0.031408505657432695,2008,Tasa de Variación Interanual
CANARIAS,0.021341463414634054,2008,Tasa de Variación Interanual
CANTABRIA,0.015019210618232748,2008,Tasa de Variación Interanual
CASTILLA Y LEÓN,0.00711912672045556,2008,Tasa de Variación Interanual
CASTILLA - LA MANCHA,0.02356112414516054,2008,Tasa de Variación Interanual
CATALUÑA,0.02002129336448988,2008,Tasa de Variación Interanual
COMUNITAT VALENCIANA,0.018879552971629465,2008,Tasa de Variación Interanual
EXTREMADURA,0.005249585559034875,2008,Tasa de Variación Interanual
GALICIA,0.0046958610898766295,2008,Tasa de Variación Interanual
"MADRID, COMUNIDAD DE",0.02127486672734369,2008,Tasa de Variación Interanual
"MURCIA, REGIÓN DE",0.018933731938216125,2008,Tasa de Variación Interanual
"NAVARRA, COMUNIDAD FORAL DE",0.02000655952771413,2008,Tasa de Variación Interanual
PAÍS VASCO,0.0072985914183443246,2008,Tasa de Variación Interanual
"RIOJA, LA",0.019206145966709443,2008,Tasa de Variación Interanual
CEUTA,0.01608579088471851,2008,Tasa de Variación Interanual
MELILLA,0.029957203994293913,2008,Tasa de Variación Interanual
ANDALUCÍA,8244.5,2009,Número de Habitantes
ARAGÓN,1344.5,2009,Número de Habitantes
"ASTURIAS, PRINCIPADO DE",1076.4,2009,Número de Habitantes
"BALEARS, ILLES",1078.1,2009,Número de Habitantes
CANARIAS,2034.2,2009,Número de Habitantes
CANTABRIA,586.8,2009,Número de Habitantes
CASTILLA Y LEÓN,2547.6,2009,Número de Habitantes
CASTILLA - LA MANCHA,2075.9,2009,Número de Habitantes
CATALUÑA,7447.3,2009,Número de Habitantes
COMUNITAT VALENCIANA,4984.4,2009,Número de Habitantes
EXTREMADURA,1097.1,2009,Número de Habitantes
GALICIA,2769.1,2009,Número de Habitantes
"MADRID, COMUNIDAD DE",6354.1,2009,Número de Habitantes
"MURCIA, REGIÓN DE",1448.5,2009,Número de Habitantes
"NAVARRA, COMUNIDAD FORAL DE",630.1,2009,Número de Habitantes
PAÍS VASCO,2177.0,2009,Número de Habitantes
"RIOJA, LA",319.8,2009,Número de Habitantes
CEUTA,77.8,2009,Número de Habitantes
MELILLA,74.5,2009,Número de Habitantes
ANDALUCÍA,0.17780734823454308,2009,Estructura Porcentual
ARAGÓN,0.028996540687894135,2009,Estructura Porcentual
"ASTURIAS, PRINCIPADO DE",0.02321448597727724,2009,Estructura Porcentual
"BALEARS, ILLES",0.02325114950957134,2009,Estructura Porcentual
CANARIAS,0.04387115140744831,2009,Estructura Porcentual
CANTABRIA,0.012655388676575884,2009,Estructura Porcentual
CASTILLA Y LEÓN,0.054943538160267084,2009,Estructura Porcentual
CASTILLA - LA MANCHA,0.044770486287838925,2009,Estructura Porcentual
CATALUÑA,0.16061430826697953,2009,Estructura Porcentual
COMUNITAT VALENCIANA,0.10749747668630681,2009,Estructura Porcentual
EXTREMADURA,0.023660918399917182,2009,Estructura Porcentual
GALICIA,0.05972058075035154,2009,Estructura Porcentual
"MADRID, COMUNIDAD DE",0.13703750032350176,2009,Estructura Porcentual
"MURCIA, REGIÓN DE",0.031239486192945073,2009,Estructura Porcentual
"NAVARRA, COMUNIDAD FORAL DE",0.013589230410890364,2009,Estructura Porcentual
PAÍS VASCO,0.04695088812015287,2009,Estructura Porcentual
"RIOJA, LA",0.006897057428031643,2009,Estructura Porcentual
CEUTA,0.001677895772047723,2009,Estructura Porcentual
MELILLA,0.0016067253858297605,2009,Estructura Porcentual
ANDALUCÍA,0.009291677888499716,2009,Tasa de Variación Interanual
ARAGÓN,0.006061059563005067,2009,Tasa de Variación Interanual
"ASTURIAS, PRINCIPADO DE",0.0022346368715084886,2009,Tasa de Variación Interanual
"BALEARS, ILLES",0.01957631927368997,2009,Tasa de Variación Interanual
CANARIAS,0.012039800995024885,2009,Tasa de Variación Interanual
CANTABRIA,0.009635237439779676,2009,Tasa de Variación Interanual
CASTILLA Y LEÓN,0.0004712535344013613,2009,Tasa de Variación Interanual
CASTILLA - LA MANCHA,0.012387222628627237,2009,Tasa de Variación Interanual
CATALUÑA,0.009515934445784913,2009,Tasa de Variación Interanual
COMUNITAT VALENCIANA,0.0050004032583270686,2009,Tasa de Variación Interanual
EXTREMADURA,0.005130554283096611,2009,Tasa de Variación Interanual
GALICIA,0.003297101449275308,2009,Tasa de Variación Interanual
"MADRID, COMUNIDAD DE",0.01120359024141826,2009,Tasa de Variación Interanual
"MURCIA, REGIÓN DE",0.011875654907439692,2009,Tasa de Variación Interanual
"NAVARRA, COMUNIDAD FORAL DE",0.01302250803858529,2009,Tasa de Variación Interanual
PAÍS VASCO,0.004707402621377144,2009,Tasa de Variación Interanual
"RIOJA, LA",0.0043969849246232595,2009,Tasa de Variación Interanual
CEUTA,0.02638522427440626,2009,Tasa de Variación Interanual
MELILLA,0.03185595567867039,2009,Tasa de Variación Interanual
ANDALUCÍA,8302.9,2010,Número de Habitantes
ARAGÓN,1343.8,2010,Número de Habitantes
"ASTURIAS, PRINCIPADO DE",1076.2,2010,Número de Habitantes
"BALEARS, ILLES",1087.6,2010,Número de Habitantes
CANARIAS,2053.1,2010,Número de Habitantes
CANTABRIA,589.6,2010,Número de Habitantes
