Region,Value,Year,Metric_Type,CCAA
Almería,666.3,2008,Número de Habitantes,ANDALUCÍA
Cádiz,1215.2,2008,Número de Habitantes,ANDALUCÍA
Córdoba,795.0,2008,Número de Habitantes,ANDALUCÍA
Granada,905.0,2008,Número de Habitantes,ANDALUCÍA
Huelva,507.5,2008,Número de Habitantes,ANDALUCÍA
Jaén,664.2,2008,Número de Habitantes,ANDALUCÍA
Málaga,1543.2,2008,Número de Habitantes,ANDALUCÍA
Sevilla,1872.2,2008,Número de Habitantes,ANDALUCÍA
Huesca,226.0,2008,Número de Habitantes,ARAGÓN
Teruel,146.1,2008,Número de Habitantes,ARAGÓN
Zaragoza,964.3,2008,Número de Habitantes,ARAGÓN
"Palmas, Las",1048.8,2008,Número de Habitantes,CANARIAS
Santa Cruz de Tenerife,961.1,2008,Número de Habitantes,CANARIAS
Ávila,173.6,2008,Número de Habitantes,CASTILLA Y LEÓN
Burgos,374.1,2008,Número de Habitantes,CASTILLA Y LEÓN
León,494.5,2008,Número de Habitantes,CASTILLA Y LEÓN
Palencia,172.7,2008,Número de Habitantes,CASTILLA Y LEÓN
Salamanca,350.5,2008,Número de Habitantes,CASTILLA Y LEÓN
Segovia,163.4,2008,Número de Habitantes,CASTILLA Y LEÓN
Soria,94.7,2008,Número de Habitantes,CASTILLA Y LEÓN
Valladolid,527.4,2008,Número de Habitantes,CASTILLA Y LEÓN
Zamora,195.5,2008,Número de Habitantes,CASTILLA Y LEÓN
Albacete,396.3,2008,Número de Habitantes,CASTILLA - LA MANCHA
Ciudad Real,521.7,2008,Número de Habitantes,CASTILLA - LA MANCHA
Cuenca,215.5,2008,Número de Habitantes,CASTILLA - LA MANCHA
Guadalajara,241.8,2008,Número de Habitantes,CASTILLA - LA MANCHA
Toledo,675.2,2008,Número de Habitantes,CASTILLA - LA MANCHA
Barcelona,5431.9,2008,Número de Habitantes,CATALUÑA
Girona,729.2,2008,Número de Habitantes,CATALUÑA
Lleida,428.0,2008,Número de Habitantes,CATALUÑA
Tarragona,788.1,2008,Número de Habitantes,CATALUÑA
Alicante/Alacant,1828.5,2008,Número de Habitantes,COMUNITAT VALENCIANA
Castellón/Castelló,592.2,2008,Número de Habitantes,COMUNITAT VALENCIANA
Valencia/València,2538.9,2008,Número de Habitantes,COMUNITAT VALENCIANA
Badajoz,682.2,2008,Número de Habitantes,EXTREMADURA
Cáceres,409.3,2008,Número de Habitantes,EXTREMADURA
"Coruña, A",1131.4,2008,Número de Habitantes,GALICIA
Lugo,352.2,2008,Número de Habitantes,GALICIA
Ourense,332.2,2008,Número de Habitantes,GALICIA
Pontevedra,944.2,2008,Número de Habitantes,GALICIA
Araba/Álava,313.2,2008,Número de Habitantes,PAÍS VASCO
Bizkaia,1152.0,2008,Número de Habitantes,PAÍS VASCO
Gipuzkoa,701.7,2008,Número de Habitantes,PAÍS VASCO
Total Nacional,45983.2,2008,Número de Habitantes,MELILLA
Almería,0.014490074635954,2008,Estructura Porcentual,ANDALUCÍA
Cádiz,0.02642704292002297,2008,Estructura Porcentual,ANDALUCÍA
Córdoba,0.017288922910976185,2008,Estructura Porcentual,ANDALUCÍA
Granada,0.019681100923815656,2008,Estructura Porcentual,ANDALUCÍA
Huelva,0.011036639468327563,2008,Estructura Porcentual,ANDALUCÍA
Jaén,0.014444405782981612,2008,Estructura Porcentual,ANDALUCÍA
Málaga,0.033560082812853394,2008,Estructura Porcentual,ANDALUCÍA
Sevilla,0.04071486977852781,2008,Estructura Porcentual,ANDALUCÍA
Huesca,0.0049148384627429155,2008,Estructura Porcentual,ARAGÓN
Teruel,0.0031772473425076986,2008,Estructura Porcentual,ARAGÓN
Zaragoza,0.02097070234346457,2008,Estructura Porcentual,ARAGÓN
"Palmas, Las",0.022808329998782163,2008,Estructura Porcentual,CANARIAS
